Entity_ID,Account,Period,Cost_Center,Product,Amount,Currency
ParentCo,Revenue,2024-Q1,Sales,Product A,99785.8,EUR
ParentCo,Revenue,2024-Q1,Sales,Product B,131491.04,GBP
ParentCo,Revenue,2024-Q1,Sales,Product C,127708.22,GBP
ParentCo,Revenue,2024-Q1,Sales,Service X,394655.74,USD
ParentCo,Revenue,2024-Q1,Sales,Service Y,325683.64,GBP
ParentCo,Revenue,2024-Q1,Marketing,Product A,439055.75,GBP
ParentCo,Revenue,2024-Q1,Marketing,Product B,272592.55,GBP
ParentCo,Revenue,2024-Q1,Marketing,Product C,325869.26,EUR
ParentCo,Revenue,2024-Q1,Marketing,Service X,255167.67,EUR
ParentCo,Revenue,2024-Q1,Marketing,Service Y,109813.11,GBP
ParentCo,Revenue,2024-Q1,R&D,Product A,484077.09,EUR
ParentCo,Revenue,2024-Q1,R&D,Product B,142289.3,USD
ParentCo,Revenue,2024-Q1,R&D,Product C,36446.93,USD
ParentCo,Revenue,2024-Q1,R&D,Service X,286762.42,GBP
ParentCo,Revenue,2024-Q1,R&D,Service Y,434349.22,GBP
ParentCo,Revenue,2024-Q1,Finance,Product A,471900.1,EUR
ParentCo,Revenue,2024-Q1,Finance,Product B,15628.53,USD
ParentCo,Revenue,2024-Q1,Finance,Product C,359557.88,EUR
ParentCo,Revenue,2024-Q1,Finance,Service X,374817.79,USD
ParentCo,Revenue,2024-Q1,Finance,Service Y,389069.89,USD
ParentCo,Revenue,2024-Q1,Operations,Product A,420021.8,GBP
ParentCo,Revenue,2024-Q1,Operations,Product B,410707.96,EUR
ParentCo,Revenue,2024-Q1,Operations,Product C,18811.86,USD
ParentCo,Revenue,2024-Q1,Operations,Service X,443248.07,GBP
ParentCo,Revenue,2024-Q1,Operations,Service Y,103964.86,EUR
ParentCo,COGS,2024-Q1,Sales,Product A,359560.69,GBP
ParentCo,COGS,2024-Q1,Sales,Product B,464745.37,EUR
ParentCo,COGS,2024-Q1,Sales,Product C,156499.41,GBP
ParentCo,COGS,2024-Q1,Sales,Service X,477051.62,GBP
